product_id;product_code;active;name;price;currency;vat;unit;category;producer;weight;ean;short_description;description;stock;"images 1";"images 2";"images 3";"images 4";"images 5";"images 6";"images 7"
425;P14798AU;1;"Kolczyki długie krzyże (P14798AU)";40.28;PLN;23;"para";"Kobieta > Kolczyki";"Colibra";0.001;5900601255067;"Kolczyki z krzyżami bez wątpienia nadadzą charakteru każdej stylizacji.
Długość kolczyka 11,5cm. Kolczyki pozłacane.";"<p>Kolczyki z krzyżami bez wątpienia nadadzą charakteru każdej stylizacji. Długość kolczyka 11,5cm. Kolczyki pozłacane.</p>";0;https://drop.seltu.pl/images/colibra/425/60376-Kolczyki-dlugie-krzyze-P14798AU-425-P14798AU.jpg;;;;;;
426;B8153AU;1;"Bransoletka zawijas z kryształami z kolekcji Wedding Dream (B8153AU)";89.06;PLN;23;"szt";"Kobieta > Bransoletki";"Colibra";0.006;5900601026759;"Biżuteria z kryształami Swarovski pasuje zarówno do eleganckiej stylizacji, jak i codziennego looku. Długość bransoletki 20,5cm + 4cm przedłużki, szerokość 0,5cm. Bransoletka pozłacana.";"<p>Biżuteria z kryształami Swarovski pasuje zarówno do eleganckiej stylizacji, jak i codziennego looku. Długość bransoletki 20,5cm + 4cm przedłużki, szerokość 0,5cm. Bransoletka pozłacana.</p>";0;https://drop.seltu.pl/images/colibra/426/68665-Bransoletka-zawijas-z-krysztalami-z-kolekcji-Wedding-Dream-B8153AU-426-B8153AU.jpg;;;;;;
428;B10167AU;1;"Bransoletka z łańcuszków ankier (B10167AU)";103.91;PLN;23;"szt";"Kobieta > Bransoletki";"Colibra";0.003;5900601072350;"Łańcuchy są uwielbiane przez panie, które pragną nadać wyrazistości swoim stylizacjom. A Ty, na który model się zdecydujesz? Długość bransoletki 18cm+ 4cm przedłużki. Bransoletka pozłacana.";"<p>Łańcuchy są uwielbiane przez panie, które pragną nadać wyrazistości swoim stylizacjom. A Ty, na który model się zdecydujesz? Długość bransoletki 18cm+ 4cm przedłużki. Bransoletka pozłacana.</p>";0;https://drop.seltu.pl/images/colibra/428/65527-Bransoletka-z-lancuszkow-ankier-B10167AU-428-B10167AU.jpg;;;;;;
430;P10146AU;1;"Kolczyki niepełne serca (P10146AU)";31.81;PLN;23;"para";"Kobieta > Kolczyki";"Colibra";0.002;5900601071100;"Biżuteria z sercami to idealny pomysł na prezent dla ukochanej osoby, a także doskonały dodatek do wielu stylizacji. Długość kolczyka 1,2 cm, szerokość 1,5 cm. Kolczyki pozłacane.";"<p>Biżuteria z sercami to idealny pomysł na prezent dla ukochanej osoby, a także doskonały dodatek do wielu stylizacji. Długość kolczyka 1,2 cm, szerokość 1,5 cm. Kolczyki pozłacane.</p>";0;https://drop.seltu.pl/images/colibra/430/64405-Kolczyki-niepelne-serca-P10146AU-430-P10146AU.jpg;;;;;;
433;B9719AG;1;"Bransoletka gałązki z kryształami (B9719AG)";80.59;PLN;23;"szt";"Kobieta > Bransoletki";"Colibra";0.005;5900601030275;"Biżuteria z kryształami Swarovski pasuje zarówno do eleganckiej stylizacji, jak i codziennego looku. Długość bransoletki 18cm + 4cm przedłużki. Szerokość bransoletki 0,5cm.";"<p>Biżuteria z kryształami Swarovski pasuje zarówno do eleganckiej stylizacji, jak i codziennego looku. Długość bransoletki 18cm + 4cm przedłużki. Szerokość bransoletki 0,5cm.</p>";2;https://drop.seltu.pl/images/colibra/433/63685-Bransoletka-galazki-z-krysztalami-B9719AG-433-B9719AG.jpg;https://drop.seltu.pl/images/colibra/433/63798-Bransoletka-galazki-z-krysztalami-B9719AG-433-B9719AG.jpg;;;;;
434;B9695/1AU;1;"Bransoleta koronka z kryształami (B9695/1AU)";252.36;PLN;23;"szt";"Kobieta > Bransoletki";"Colibra";0.031;5900601038158;"Niezwykle efektowna bransoleta koronka z kryształami SWAROVSKI to doskonałe uzupełnienie stylizacji na specjalną okazję. Długość bransoletki 18cm, szerokość 3cm. Bransoletka pozłacana.";"<p>Niezwykle efektowna bransoleta koronka z kryształami SWAROVSKI to doskonałe uzupełnienie stylizacji na specjalną okazję. Długość bransoletki 18cm, szerokość 3cm. Bransoletka pozłacana.</p>";2;https://drop.seltu.pl/images/colibra/434/70232-Bransoleta-koronka-z-krysztalami-B96951AU-434-B9695/1AU.jpg;;;;;;
432;B9719AU;1;"Bransoletka gałązki z kryształami (B9719AU)";80.59;PLN;23;"szt";"Kobieta > Bransoletki";"Colibra";0.005;5900601029040;"Biżuteria z kryształami Swarovski pasuje zarówno do eleganckiej stylizacji, jak i codziennego looku. Długość bransoletki 18cm + 4cm przedłużki. Szerokość bransoletki 0,5cm.";"<p>Biżuteria z kryształami Swarovski pasuje zarówno do eleganckiej stylizacji, jak i codziennego looku. Długość bransoletki 18cm + 4cm przedłużki. Szerokość bransoletki 0,5cm.</p>";0;https://drop.seltu.pl/images/colibra/432/60446-Bransoletka-galazki-z-krysztalami-B9719AU-432-B9719AU.jpg;;;;;;
435;B48010/NAU;1;"Bransoletka z delfinkiem (B48010/NAU)";48.78;PLN;23;"szt";"Kobieta > Bransoletki";"Colibra";0.001;5900601052079;"Bransoletka to doskonały pomysł na prezent oraz idealne uzupełnienie każdej stylizacji. Bransoletka dla miłośników delfinów! Długość bransoletki 25cm + 5cm przedłużki.";"<p>Bransoletka to doskonały pomysł na prezent oraz idealne uzupełnienie każdej stylizacji. Bransoletka dla miłośników delfinów! Długość bransoletki 25cm + 5cm przedłużki.</p>";0;https://drop.seltu.pl/images/colibra/435/66443-Bransoletka-z-delfinkiem-B48010NAU-435-B48010/NAU.jpg;;;;;;
436;B10168AG;1;"Bransoletka z łańcuszków ankier (B10168AG)";129.36;PLN;23;"szt";"Kobieta > Bransoletki";"Colibra";0.004;5900601072664;"Łańcuchy są uwielbiane przez panie, które pragną nadać wyrazistości swoim stylizacjom. A Ty, na który model się zdecydujesz? Długość bransoletki 18cm+ 4cm przedłużki. Bransoletka posrebrzana.";"<p>Łańcuchy są uwielbiane przez panie, które pragną nadać wyrazistości swoim stylizacjom. A Ty, na który model się zdecydujesz? Długość bransoletki 18cm+ 4cm przedłużki. Bransoletka posrebrzana.</p>";0;https://drop.seltu.pl/images/colibra/436/69596-Bransoletka-z-lancuszkow-ankier-B10168AG-436-B10168AG.jpg;;;;;;
437;B10666AU;1;"Bransoletka z serduszek (B10666AU)";38.18;PLN;23;"szt";"Kobieta > Bransoletki";"Colibra";0.002;5900601092242;"Bransoletka z serduszkami to doskonały pomysł na prezent oraz idealne uzupełnienie każdej stylizacji. Długość bransoletki 21cm. Bransoletka pozłacana.";"<p>Bransoletka z serduszkami to doskonały pomysł na prezent oraz idealne uzupełnienie każdej stylizacji. Długość bransoletki 21cm. Bransoletka pozłacana.</p>";0;https://drop.seltu.pl/images/colibra/437/64876-Bransoletka-z-serduszek-B10666AU-437-B10666AU.jpg;;;;;;
439;B10776AU;1;"Bransoletka z węzłem (B10776AU)";63.62;PLN;23;"szt";"Kobieta > Bransoletki";"Colibra";0.002;5900601095809;"Ciekawa bransoletka z węzłem. Do jakiej stylizacji ją dobierzesz ?
Długość bransoletki 18cm+ 5cm przedłużki. Bransoletka pozłacana.";"<p>Ciekawa bransoletka z węzłem. Do jakiej stylizacji ją dobierzesz ? Długość bransoletki 18cm+ 5cm przedłużki. Bransoletka pozłacana.</p>";0;https://drop.seltu.pl/images/colibra/439/69934-Bransoletka-z-wezlem-B10776AU-439-B10776AU.jpg;;;;;;
440;B10777AU;1;"Bransoletka z sercem (B10777AU)";48.78;PLN;23;"szt";"Kobieta > Bransoletki";"Colibra";0.003;5900601095922;"Biżuteria z sercami to idealny pomysł na prezent dla ukochanej osoby, a także doskonały dodatek do wielu stylizacji. Długość bransoletki 22 cm.
Bransoletka pozłacana.";"<p>Biżuteria z sercami to idealny pomysł na prezent dla ukochanej osoby, a także doskonały dodatek do wielu stylizacji. Długość bransoletki 22 cm. Bransoletka pozłacana.</p>";0;https://drop.seltu.pl/images/colibra/440/63447-Bransoletka-z-sercem-B10777AU-440-B10777AU.jpg;;;;;;
441;B11066AU;1;"Bransoletka kwiaty z listkami (B11066AU)";131.49;PLN;23;"szt";"Kobieta > Bransoletki";"Colibra";0.008;5900601109094;"Biżuteria z listkami to idealny pomysł na prezent a także doskonały dodatek do wielu stylizacji. Długość bransoletki wynosi 19cm + przedłużka 4cm.
Bransoletka pozłacana.";"<p>Biżuteria z listkami to idealny pomysł na prezent a także doskonały dodatek do wielu stylizacji. Długość bransoletki wynosi 19cm + przedłużka 4cm. Bransoletka pozłacana.</p>";0;https://drop.seltu.pl/images/colibra/441/64396-Bransoletka-kwiaty-z-listkami-B11066AU-441-B11066AU.jpg;;;;;;
444;P9454AU;1;"Sztyfty kryształ zaczepiony na kółkach (P9454AU)";67.86;PLN;23;"para";"Kobieta > Kolczyki";"Colibra";0.002;5900601001176;"Kolbiece i eleganckie kolczyki z kryształami SWAROVSKI idealnie pasują do sukienek, kombinezonów i garniturów. Wymiary kolczyka 2,2cm x 0,7cm.
Kolczyki pozłacane.";"<p>Kolbiece i eleganckie kolczyki z kryształami SWAROVSKI idealnie pasują do sukienek, kombinezonów i garniturów. Wymiary kolczyka 2,2cm x 0,7cm. Kolczyki pozłacane.</p>";0;https://drop.seltu.pl/images/colibra/444/68560-Sztyfty-krysztal-zaczepiony-na-kolkach-P9454AU-444-P9454AU.jpg;;;;;;
443;P9300AU;1;"Kolczyki maleńkie serca (P9300AU)";49;PLN;23;"para";"Kobieta > Kolczyki";"Colibra";0.001;5900601000230;"Biżuteria z sercami to idealny pomysł na prezent dla ukochanej osoby, a także doskonały dodatek do wielu stylizacji. Wielkość kolczyka 1cm x 1,2cm.
Kolczyki pozłacane.";"<p>Biżuteria z sercami to idealny pomysł na prezent dla ukochanej osoby, a także doskonały dodatek do wielu stylizacji. Wielkość kolczyka 1cm x 1,2cm. Kolczyki pozłacane.</p>";1;https://drop.seltu.pl/images/colibra/443/70085-Kolczyki-malenkie-serca-P9300AU-443-P9300AU.jpg;https://drop.seltu.pl/images/colibra/443/70092-Kolczyki-malenkie-serca-P9300AU-443-P9300AU.jpg;;;;;
