product_id;product_code;active;name;price;currency;vat;unit;category;producer;weight;ean;short_description;description;stock;"images 1";"images 2";"images 3";"images 4";"images 5";"images 6";"images 7"
425;P14798AU;1;"Long crosses earrings (P14798AU)";9.31;eur;23;"couple";"Woman > Earrings";"Colibra";0.001;5900601255067;"Cross earrings will undoubtedly add character to any outfit. The length of the earring is 11.5 cm. Gold-plated earrings.";"<p>Cross earrings will undoubtedly add character to any outfit. The length of the earring is 11.5 cm. Gold-plated earrings.</p>";0;https://drop.seltu.pl/images/colibra/425/60376-Kolczyki-dlugie-krzyze-P14798AU-425-P14798AU.jpg;;;;;;
426;B8153AU;1;"Swirl bracelet with crystals from the Wedding Dream collection (B8153AU)";20.58;eur;23;"pcs";"Woman > Bracelets";"Colibra";0.006;5900601026759;"Jewelry with Swarovski crystals fits both elegant styling and everyday look. Length of the bracelet 20.5 cm + 4 cm extension, width 0.5 cm. Gold-plated bracelet.";"<p>Jewelry with Swarovski crystals fits both elegant styling and everyday look. Length of the bracelet 20.5 cm + 4 cm extension, width 0.5 cm. Gold-plated bracelet.</p>";0;https://drop.seltu.pl/images/colibra/426/68665-Bransoletka-zawijas-z-krysztalami-z-kolekcji-Wedding-Dream-B8153AU-426-B8153AU.jpg;;;;;;
428;B10167AU;1;"Ankier chain bracelet (B10167AU)";24.01;eur;23;"pcs";"Woman > Bracelets";"Colibra";0.003;5900601072350;"Chains are loved by ladies who want to make their stylizations expressive. And you, which model will you choose? Length of the bracelet 18cm + 4cm extension. Gold-plated bracelet.";"<p>Chains are loved by ladies who want to make their stylizations expressive. And you, which model will you choose? Length of the bracelet 18cm + 4cm extension. Gold-plated bracelet.</p>";0;https://drop.seltu.pl/images/colibra/428/65527-Bransoletka-z-lancuszkow-ankier-B10167AU-428-B10167AU.jpg;;;;;;
430;P10146AU;1;"Half-heart earrings (P10146AU)";7.35;eur;23;"couple";"Woman > Earrings";"Colibra";0.002;5900601071100;"Jewelry with hearts is the perfect gift idea for a loved one, as well as a perfect addition to many styles. Length of the earring 1.2 cm, width 1.5 cm. Gold-plated earrings.";"<p>Jewelry with hearts is the perfect gift idea for a loved one, as well as a perfect addition to many styles. Length of the earring 1.2 cm, width 1.5 cm. Gold-plated earrings.</p>";0;https://drop.seltu.pl/images/colibra/430/64405-Kolczyki-niepelne-serca-P10146AU-430-P10146AU.jpg;;;;;;
433;B9719AG;1;"Twig bracelet with crystals (B9719AG)";18.63;eur;23;"pcs";"Woman > Bracelets";"Colibra";0.005;5900601030275;"Jewelry with Swarovski crystals fits both elegant styling and everyday look. Length of the bracelet 18cm + 4cm extension. The width of the bracelet is 0.5 cm.";"<p>Jewelry with Swarovski crystals fits both elegant styling and everyday look. Length of the bracelet 18cm + 4cm extension. The width of the bracelet is 0.5 cm.</p>";1;https://drop.seltu.pl/images/colibra/433/63685-Bransoletka-galazki-z-krysztalami-B9719AG-433-B9719AG.jpg;https://drop.seltu.pl/images/colibra/433/63798-Bransoletka-galazki-z-krysztalami-B9719AG-433-B9719AG.jpg;;;;;
434;B9695/1AU;1;"Lace bracelet with crystals (B9695 / 1AU)";58.32;eur;23;"pcs";"Woman > Bracelets";"Colibra";0.031;5900601038158;"Extremely impressive lace bracelet with SWAROVSKI crystals is the perfect complement to the styling for a special occasion. Length of the bracelet 18cm, width 3cm. Gold-plated bracelet.";"<p>Extremely impressive lace bracelet with SWAROVSKI crystals is the perfect complement to the styling for a special occasion. Length of the bracelet 18cm, width 3cm. Gold-plated bracelet.</p>";2;https://drop.seltu.pl/images/colibra/434/70232-Bransoleta-koronka-z-krysztalami-B96951AU-434-B9695/1AU.jpg;;;;;;
432;B9719AU;1;"Twig bracelet with crystals (B9719AU)";18.63;eur;23;"pcs";"Woman > Bracelets";"Colibra";0.005;5900601029040;"Jewelry with Swarovski crystals fits both elegant styling and everyday look. Length of the bracelet 18cm + 4cm extension. The width of the bracelet is 0.5 cm.";"<p>Jewelry with Swarovski crystals fits both elegant styling and everyday look. Length of the bracelet 18cm + 4cm extension. The width of the bracelet is 0.5 cm.</p>";0;https://drop.seltu.pl/images/colibra/432/60446-Bransoletka-galazki-z-krysztalami-B9719AU-432-B9719AU.jpg;;;;;;
435;B48010/NAU;1;"Dolphin bracelet (B48010 / NAU)";11.27;eur;23;"pcs";"Woman > Bracelets";"Colibra";0.001;5900601052079;"The bracelet is a great gift idea and the perfect complement to any styling. Bracelet for lovers of dolphins! Length of the bracelet 25cm + 5cm extension.";"<p>The bracelet is a great gift idea and the perfect complement to any styling. Bracelet for lovers of dolphins! Length of the bracelet 25cm + 5cm extension.</p>";0;https://drop.seltu.pl/images/colibra/435/66443-Bransoletka-z-delfinkiem-B48010NAU-435-B48010/NAU.jpg;;;;;;
436;B10168AG;1;"Ankier chain bracelet (B10168AG)";29.9;eur;23;"pcs";"Woman > Bracelets";"Colibra";0.004;5900601072664;"Chains are loved by ladies who want to make their stylizations expressive. And you, which model will you choose? Length of the bracelet 18cm + 4cm extension. Silver-plated bracelet.";"<p>Chains are loved by ladies who want to make their stylizations expressive. And you, which model will you choose? Length of the bracelet 18cm + 4cm extension. Silver-plated bracelet.</p>";0;https://drop.seltu.pl/images/colibra/436/69596-Bransoletka-z-lancuszkow-ankier-B10168AG-436-B10168AG.jpg;;;;;;
437;B10666AU;1;"Hearts bracelet (B10666AU)";8.82;eur;23;"pcs";"Woman > Bracelets";"Colibra";0.002;5900601092242;"A bracelet with hearts is a great gift idea and the perfect complement to any styling. Length of the bracelet 21cm. Gold-plated bracelet.";"<p>A bracelet with hearts is a great gift idea and the perfect complement to any styling. Length of the bracelet 21cm. Gold-plated bracelet.</p>";0;https://drop.seltu.pl/images/colibra/437/64876-Bransoletka-z-serduszek-B10666AU-437-B10666AU.jpg;;;;;;
439;B10776AU;1;"Knot bracelet (B10776AU)";14.7;eur;23;"pcs";"Woman > Bracelets";"Colibra";0.002;5900601095809;"Interesting bracelet with a knot. What styling will you choose it for? Length of the bracelet 18cm + 5cm extension. Gold-plated bracelet.";"<p>Interesting bracelet with a knot. What styling will you choose it for? Length of the bracelet 18cm + 5cm extension. Gold-plated bracelet.</p>";0;https://drop.seltu.pl/images/colibra/439/69934-Bransoletka-z-wezlem-B10776AU-439-B10776AU.jpg;;;;;;
440;B10777AU;1;"Bracelet with a heart (B10777AU)";11.27;eur;23;"pcs";"Woman > Bracelets";"Colibra";0.003;5900601095922;"Jewelry with hearts is the perfect gift idea for a loved one, as well as a perfect addition to many styles. The length of the bracelet is 22 cm. Gold-plated bracelet.";"<p>Jewelry with hearts is the perfect gift idea for a loved one, as well as a perfect addition to many styles. The length of the bracelet is 22 cm. Gold-plated bracelet.</p>";0;https://drop.seltu.pl/images/colibra/440/63447-Bransoletka-z-sercem-B10777AU-440-B10777AU.jpg;;;;;;
441;B11066AU;1;"Flowers bracelet with leaves (B11066AU)";30.39;eur;23;"pcs";"Woman > Bracelets";"Colibra";0.008;5900601109094;"Jewelery with leaves is a perfect gift idea as well as a perfect addition to many styles. The length of the bracelet is 19cm + 4cm extension. Gold-plated bracelet.";"<p>Jewelery with leaves is a perfect gift idea as well as a perfect addition to many styles. The length of the bracelet is 19cm + 4cm extension. Gold-plated bracelet.</p>";0;https://drop.seltu.pl/images/colibra/441/64396-Bransoletka-kwiaty-z-listkami-B11066AU-441-B11066AU.jpg;;;;;;
