number,product_code,image_url
1,425,https://drop.seltu.pl/images/colibra/425/60376-Kolczyki-dlugie-krzyze-P14798AU-425-P14798AU.jpg
2,428,https://drop.seltu.pl/images/colibra/428/65527-Bransoletka-z-lancuszkow-ankier-B10167AU-428-B10167AU.jpg
3,430,https://drop.seltu.pl/images/colibra/430/64405-Kolczyki-niepelne-serca-P10146AU-430-P10146AU.jpg
4,433,https://drop.seltu.pl/images/colibra/433/63685-Bransoletka-galazki-z-krysztalami-B9719AG-433-B9719AG.jpg
5,433,https://drop.seltu.pl/images/colibra/433/63798-Bransoletka-galazki-z-krysztalami-B9719AG-433-B9719AG.jpg
6,435,https://drop.seltu.pl/images/colibra/435/66443-Bransoletka-z-delfinkiem-B48010NAU-435-B48010/NAU.jpg
7,436,https://drop.seltu.pl/images/colibra/436/69596-Bransoletka-z-lancuszkow-ankier-B10168AG-436-B10168AG.jpg
8,439,https://drop.seltu.pl/images/colibra/439/69934-Bransoletka-z-wezlem-B10776AU-439-B10776AU.jpg
9,441,https://drop.seltu.pl/images/colibra/441/64396-Bransoletka-kwiaty-z-listkami-B11066AU-441-B11066AU.jpg
10,444,https://drop.seltu.pl/images/colibra/444/68560-Sztyfty-krysztal-zaczepiony-na-kolkach-P9454AU-444-P9454AU.jpg
11,445,https://drop.seltu.pl/images/colibra/445/30530-Kolczyki-wiszace-z-kulkami-P6955AU-445-P6955AU.jpg
12,446,https://drop.seltu.pl/images/colibra/446/60322-Kolczyki-wykalaczki-P7941AU-446-P7941AU.jpg
13,449,https://drop.seltu.pl/images/colibra/449/66723-Kolczyki-zawijasy-z-krysztalami-z-kolekcji-Wedding-Dream-P8153AU-449-P8153AU.jpg
14,450,https://drop.seltu.pl/images/colibra/450/70427-Kolczyki-male-kuleczki-P8595AU-450-P8595AU.jpg
15,456,https://drop.seltu.pl/images/colibra/456/69186-Kolczyki-kola-3-4cm-cieniutkie-P45385AU-456-P4538/5AU.jpg
16,460,https://drop.seltu.pl/images/colibra/460/69330-Kolczyki-zawijane-kola-5cm-P47393AU-460-P4739/3AU.jpg
17,467,https://drop.seltu.pl/images/colibra/467/67464-Kolczyki-podluzne-z-krysztalkami-P9964AU-467-P9964AU.jpg
18,468,https://drop.seltu.pl/images/colibra/468/68710-Kolczyki-podluzne-z-krysztalkami-P9964AG-468-P9964AG.jpg
19,469,https://drop.seltu.pl/images/colibra/469/63051-Kolczyki-krysztal-pomiedzy-szpicami-P10857AU-469-P10857AU.jpg
20,470,https://drop.seltu.pl/images/colibra/470/56714-Kolczyki-kola-4cm-z-wzorem-P10881AU-470-P10881AU.jpg
21,472,https://drop.seltu.pl/images/colibra/472/60386-Kolczyki-kwadraty-z-otworem-i-perla-P11008AU-472-P11008AU.jpg
