Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
425,Long crosses earrings (P14798AU),<p>Cross earrings will undoubtedly add character to any outfit. The length of the earring is 11.5 cm. Gold-plated earrings.</p>,Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Long crosses earrings (P14798AU),,,,,5900601255067,1.0,,100,deny,manual,9.31,,TRUE,TRUE,,,1,Long crosses earrings (P14798AU),FALSE,Long crosses earrings (P14798AU),Cross earrings will undoubtedly add character to any outfit. The length of the earring is 11.5 cm. Gold-plated earrings.,,Woman,Adult,,Woman,Long crosses earrings (P14798AU),new,,,,,,,,g,,,,,active
426,Swirl bracelet with crystals from the Wedding Dream collection (B8153AU),"<p>Jewelry with Swarovski crystals fits both elegant styling and everyday look. Length of the bracelet 20.5 cm + 4 cm extension, width 0.5 cm. Gold-plated bracelet.</p>",Colibra,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,TRUE,Title,Swirl bracelet with crystals from the Wedding Dream collection (B8153AU),,,,,5900601026759,6.0,,100,deny,manual,20.58,,TRUE,TRUE,,https://drop.seltu.pl/images/colibra/426/68665-Bransoletka-zawijas-z-krysztalami-z-kolekcji-Wedding-Dream-B8153AU-426-B8153AU.jpg,1,Swirl bracelet with crystals from the Wedding Dream collection (B8153AU),FALSE,Swirl bracelet with crystals from the Wedding Dream collection (B8153AU),"Jewelry with Swarovski crystals fits both elegant styling and everyday look. Length of the bracelet 20.5 cm + 4 cm extension, width 0.5 cm. Gold-plated bracelet.",,Woman,Adult,,Woman,Swirl bracelet with crystals from the Wedding Dream collection (B8153AU),new,,,,,,,https://drop.seltu.pl/images/colibra/426/68665-Bransoletka-zawijas-z-krysztalami-z-kolekcji-Wedding-Dream-B8153AU-426-B8153AU.jpg,g,,,,,active
428,Ankier chain bracelet (B10167AU),"<p>Chains are loved by ladies who want to make their stylizations expressive. And you, which model will you choose? Length of the bracelet 18cm + 4cm extension. Gold-plated bracelet.</p>",Colibra,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,TRUE,Title,Ankier chain bracelet (B10167AU),,,,,5900601072350,3.0,,100,deny,manual,24.01,,TRUE,TRUE,,,1,Ankier chain bracelet (B10167AU),FALSE,Ankier chain bracelet (B10167AU),"Chains are loved by ladies who want to make their stylizations expressive. And you, which model will you choose? Length of the bracelet 18cm + 4cm extension. Gold-plated bracelet.",,Woman,Adult,,Woman,Ankier chain bracelet (B10167AU),new,,,,,,,,g,,,,,active
430,Half-heart earrings (P10146AU),"<p>Jewelry with hearts is the perfect gift idea for a loved one, as well as a perfect addition to many styles. Length of the earring 1.2 cm, width 1.5 cm. Gold-plated earrings.</p>",Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Half-heart earrings (P10146AU),,,,,5900601071100,2.0,,100,deny,manual,7.35,,TRUE,TRUE,,,1,Half-heart earrings (P10146AU),FALSE,Half-heart earrings (P10146AU),"Jewelry with hearts is the perfect gift idea for a loved one, as well as a perfect addition to many styles. Length of the earring 1.2 cm, width 1.5 cm. Gold-plated earrings.",,Woman,Adult,,Woman,Half-heart earrings (P10146AU),new,,,,,,,,g,,,,,active
433,Twig bracelet with crystals (B9719AG),<p>Jewelry with Swarovski crystals fits both elegant styling and everyday look. Length of the bracelet 18cm + 4cm extension. The width of the bracelet is 0.5 cm.</p>,Colibra,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,TRUE,Title,Twig bracelet with crystals (B9719AG),,,,,5900601030275,5.0,,100,deny,manual,18.63,,TRUE,TRUE,,,1,Twig bracelet with crystals (B9719AG),FALSE,Twig bracelet with crystals (B9719AG),Jewelry with Swarovski crystals fits both elegant styling and everyday look. Length of the bracelet 18cm + 4cm extension. The width of the bracelet is 0.5 cm.,,Woman,Adult,,Woman,Twig bracelet with crystals (B9719AG),new,,,,,,,,g,,,,,active
434,Lace bracelet with crystals (B9695 / 1AU),"<p>Extremely impressive lace bracelet with SWAROVSKI crystals is the perfect complement to the styling for a special occasion. Length of the bracelet 18cm, width 3cm. Gold-plated bracelet.</p>",Colibra,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,TRUE,Title,Lace bracelet with crystals (B9695 / 1AU),,,,,5900601038158,31.0,,100,deny,manual,58.32,,TRUE,TRUE,,https://drop.seltu.pl/images/colibra/434/70232-Bransoleta-koronka-z-krysztalami-B96951AU-434-B9695/1AU.jpg,1,Lace bracelet with crystals (B9695 / 1AU),FALSE,Lace bracelet with crystals (B9695 / 1AU),"Extremely impressive lace bracelet with SWAROVSKI crystals is the perfect complement to the styling for a special occasion. Length of the bracelet 18cm, width 3cm. Gold-plated bracelet.",,Woman,Adult,,Woman,Lace bracelet with crystals (B9695 / 1AU),new,,,,,,,https://drop.seltu.pl/images/colibra/434/70232-Bransoleta-koronka-z-krysztalami-B96951AU-434-B9695/1AU.jpg,g,,,,,active
432,Twig bracelet with crystals (B9719AU),<p>Jewelry with Swarovski crystals fits both elegant styling and everyday look. Length of the bracelet 18cm + 4cm extension. The width of the bracelet is 0.5 cm.</p>,Colibra,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,TRUE,Title,Twig bracelet with crystals (B9719AU),,,,,5900601029040,5.0,,100,deny,manual,18.63,,TRUE,TRUE,,https://drop.seltu.pl/images/colibra/432/60446-Bransoletka-galazki-z-krysztalami-B9719AU-432-B9719AU.jpg,1,Twig bracelet with crystals (B9719AU),FALSE,Twig bracelet with crystals (B9719AU),Jewelry with Swarovski crystals fits both elegant styling and everyday look. Length of the bracelet 18cm + 4cm extension. The width of the bracelet is 0.5 cm.,,Woman,Adult,,Woman,Twig bracelet with crystals (B9719AU),new,,,,,,,https://drop.seltu.pl/images/colibra/432/60446-Bransoletka-galazki-z-krysztalami-B9719AU-432-B9719AU.jpg,g,,,,,active
435,Dolphin bracelet (B48010 / NAU),<p>The bracelet is a great gift idea and the perfect complement to any styling. Bracelet for lovers of dolphins! Length of the bracelet 25cm + 5cm extension.</p>,Colibra,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,TRUE,Title,Dolphin bracelet (B48010 / NAU),,,,,5900601052079,1.0,,100,deny,manual,11.27,,TRUE,TRUE,,,1,Dolphin bracelet (B48010 / NAU),FALSE,Dolphin bracelet (B48010 / NAU),The bracelet is a great gift idea and the perfect complement to any styling. Bracelet for lovers of dolphins! Length of the bracelet 25cm + 5cm extension.,,Woman,Adult,,Woman,Dolphin bracelet (B48010 / NAU),new,,,,,,,,g,,,,,active
436,Ankier chain bracelet (B10168AG),"<p>Chains are loved by ladies who want to make their stylizations expressive. And you, which model will you choose? Length of the bracelet 18cm + 4cm extension. Silver-plated bracelet.</p>",Colibra,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,TRUE,Title,Ankier chain bracelet (B10168AG),,,,,5900601072664,4.0,,100,deny,manual,29.9,,TRUE,TRUE,,,1,Ankier chain bracelet (B10168AG),FALSE,Ankier chain bracelet (B10168AG),"Chains are loved by ladies who want to make their stylizations expressive. And you, which model will you choose? Length of the bracelet 18cm + 4cm extension. Silver-plated bracelet.",,Woman,Adult,,Woman,Ankier chain bracelet (B10168AG),new,,,,,,,,g,,,,,active
437,Hearts bracelet (B10666AU),<p>A bracelet with hearts is a great gift idea and the perfect complement to any styling. Length of the bracelet 21cm. Gold-plated bracelet.</p>,Colibra,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,TRUE,Title,Hearts bracelet (B10666AU),,,,,5900601092242,2.0,,100,deny,manual,8.82,,TRUE,TRUE,,https://drop.seltu.pl/images/colibra/437/64876-Bransoletka-z-serduszek-B10666AU-437-B10666AU.jpg,1,Hearts bracelet (B10666AU),FALSE,Hearts bracelet (B10666AU),A bracelet with hearts is a great gift idea and the perfect complement to any styling. Length of the bracelet 21cm. Gold-plated bracelet.,,Woman,Adult,,Woman,Hearts bracelet (B10666AU),new,,,,,,,https://drop.seltu.pl/images/colibra/437/64876-Bransoletka-z-serduszek-B10666AU-437-B10666AU.jpg,g,,,,,active
